,NAME,G_LEFT_batter_Std,PA_LEFT_batter_Std,AB_LEFT_batter_Std,R_LEFT_batter_Std,H_LEFT_batter_Std,1B_LEFT_batter_Std,2B_LEFT_batter_Std,3B_LEFT_batter_Std,HR_LEFT_batter_Std,TB_LEFT_batter_Std,SO_LEFT_batter_Std,BB_LEFT_batter_Std,HBP_LEFT_batter_Std,SF_LEFT_batter_Std,SH_LEFT_batter_Std,RBI_LEFT_batter_Std,DP_LEFT_batter_Std,FB%_LEFT_batter_Std,GB%_LEFT_batter_Std,LD%_LEFT_batter_Std,POP%_LEFT_batter_Std,ISO_LEFT_batter_Std,AVG_LEFT_batter_Std,OBP_LEFT_batter_Std,SLG_LEFT_batter_Std,TAV_LEFT_batter_Std,BASES_VS_AB_LEFT_batter_Std
0,JT RIDDLE,1,1,1,1,1,0,0,0,1,4,0,0,0,0,0,1,0,100.0,0.0,0.0,0.0,3.0,1.0,1.0,4.0,1.987,4.0
1,CHRISTIAN YELICH,1,1,1,1,1,0,0,0,1,4,0,0,0,0,0,1,0,100.0,0.0,0.0,0.0,3.0,1.0,1.0,4.0,1.771,4.0
2,BRYCE HARPER,1,1,1,1,1,0,0,0,1,4,0,0,0,0,0,1,0,100.0,0.0,0.0,0.0,3.0,1.0,1.0,4.0,1.707,4.0
3,DAVID DAHL,1,1,1,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,2.0,1.0,1.0,3.0,1.556,3.0
4,GREG BIRD,1,1,1,1,1,0,0,0,1,4,0,0,0,0,0,1,0,100.0,0.0,0.0,0.0,3.0,1.0,1.0,4.0,1.421,4.0
5,RYAN MCMAHON,1,1,1,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,1.0,1.0,1.0,2.0,1.197,2.0
6,TROY TULOWITZKI,2,2,2,1,2,0,1,0,1,6,0,0,0,0,0,1,0,50.0,0.0,50.0,0.0,2.0,1.0,1.0,3.0,1.147,3.0
7,BYRON BUXTON,1,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,100.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.95,2.0
8,A.J. POLLOCK,1,4,3,1,3,2,0,0,1,6,0,1,0,0,0,3,0,33.33,33.33,33.33,0.0,1.0,1.0,1.0,2.0,0.923,1.75
9,DJ LEMAHIEU,1,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,1.0,1.0,1.0,2.0,0.874,2.0
10,TIM BECKHAM,2,6,5,2,3,1,0,0,2,9,1,1,0,0,0,4,0,50.0,25.0,25.0,0.0,1.2,0.6,0.667,1.8,0.84,1.6666666666666667
11,EDWIN ENCARNACION,2,5,5,2,3,2,0,0,1,6,0,0,0,0,0,1,0,20.0,60.0,20.0,0.0,0.6,0.6,0.6,1.2,0.822,1.2
12,SAM TRAVIS,1,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,1.0,1.0,1.0,0.792,1.0
13,CHAD WALLACH,1,4,3,1,2,1,1,0,0,3,1,1,0,0,0,0,0,50.0,0.0,50.0,0.0,0.333,0.667,0.75,1.0,0.721,1.0
14,BRAD MILLER,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,1.0,1.0,1.0,0.682,1.0
