,TEAM,PA_Def_Ef,AB_Def_Ef,H_Def_Ef,HR_Def_Ef,SO_Def_Ef,BB_Def_Ef,DE_Def_Ef,PADE_Def_Ef,GB_DE_Def_Ef,FB_DE_Def_Ef,LINEDR_DE_Def_Ef,POPUP_DE_Def_Ef,GB%_Def_Ef,FB%_Def_Ef,LD%_Def_Ef,POP%_Def_Ef,DP%_Def_Ef
0,ANA,6108,5445,1353,205,1386,546,0.706,0.99,0.747,0.91,0.405,0.984,43.43,22.74,26.1,7.74,14.674
1,ARI,6139,5495,1313,174,1448,522,0.711,0.21,0.785,0.886,0.368,0.961,48.54,21.63,24.16,5.67,13.535
2,ATL,6155,5393,1236,153,1423,635,0.722,1.71,0.779,0.893,0.42,0.975,44.58,22.87,25.62,6.92,11.754
3,BAL,6340,5625,1552,234,1203,589,0.69,-1.73,0.744,0.868,0.375,0.991,43.0,23.37,25.95,7.68,12.589
4,BOS,6166,5515,1305,176,1558,512,0.706,-0.3,0.734,0.883,0.416,0.991,43.49,23.97,24.66,7.88,9.515
5,CHA,6339,5531,1404,196,1259,653,0.708,0.35,0.755,0.869,0.393,0.981,41.73,24.79,24.79,8.69,10.585
6,CHN,6264,5500,1319,157,1333,622,0.715,0.68,0.773,0.901,0.409,0.985,46.52,21.62,25.7,6.15,12.993
7,CIN,6279,5605,1491,228,1258,532,0.7,-1.16,0.753,0.89,0.39,0.97,46.01,22.17,25.1,6.71,11.881
8,CLE,6071,5566,1349,200,1544,407,0.702,-0.78,0.752,0.893,0.368,0.986,43.75,24.44,24.69,7.12,12.5
9,COL,6154,5501,1377,184,1409,525,0.7,-2.74,0.773,0.871,0.371,0.989,46.54,21.25,25.67,6.53,14.248
10,DET,6130,5505,1423,216,1215,491,0.709,0.92,0.749,0.887,0.393,0.973,41.07,25.42,25.1,8.41,11.28
11,HOU,5913,5365,1164,152,1687,435,0.717,1.95,0.77,0.884,0.405,0.985,45.3,22.8,24.89,7.01,12.314
12,KCA,6284,5603,1542,205,1157,549,0.691,-2.06,0.728,0.887,0.4,0.968,44.21,23.09,25.76,6.94,11.62
13,LAN,6096,5562,1279,179,1565,422,0.715,1.4,0.771,0.898,0.378,0.981,46.35,21.76,24.0,7.89,10.335
14,MIA,6236,5472,1388,192,1249,605,0.709,0.77,0.768,0.891,0.367,0.98,42.07,24.74,25.16,8.03,11.195
15,MIL,6114,5415,1259,173,1428,553,0.721,1.93,0.77,0.909,0.424,0.959,44.89,21.18,25.65,8.28,12.737
16,MIN,6287,5560,1425,198,1377,573,0.698,-1.32,0.75,0.886,0.372,0.966,42.99,23.73,25.6,7.68,10.444
17,NYA,6141,5543,1311,177,1634,494,0.7,-1.22,0.742,0.871,0.388,0.99,44.3,23.39,24.6,7.71,8.475
18,NYN,6178,5541,1364,185,1446,484,0.705,0.66,0.75,0.884,0.365,0.988,43.84,24.56,23.82,7.78,10.577
19,OAK,6099,5517,1303,184,1237,474,0.73,3.98,0.789,0.881,0.421,0.982,44.5,23.29,24.56,7.66,11.95
20,PHI,6138,5490,1366,171,1465,500,0.697,-1.75,0.747,0.881,0.372,0.974,46.95,21.54,24.14,7.37,13.385
21,PIT,6144,5506,1380,174,1336,497,0.704,-0.61,0.742,0.897,0.404,0.993,45.26,23.01,25.25,6.48,10.774
22,SDN,6254,5591,1430,185,1399,519,0.695,-1.76,0.754,0.89,0.374,0.972,45.72,22.1,25.57,6.61,10.967
23,SEA,6073,5545,1396,195,1328,400,0.705,0.23,0.754,0.894,0.386,0.97,43.41,24.58,24.91,7.09,13.641
24,SFN,6191,5525,1387,156,1269,524,0.707,-0.17,0.764,0.868,0.411,0.956,45.78,21.3,25.61,7.31,14.273
25,SLN,6271,5506,1354,144,1337,593,0.707,0.32,0.768,0.896,0.383,0.987,46.3,21.01,25.76,6.93,12.459
26,TBA,5992,5382,1236,164,1421,501,0.722,2.73,0.772,0.904,0.382,0.976,44.7,24.18,23.76,7.37,12.76
27,TEX,6231,5597,1516,222,1121,491,0.701,-1.24,0.755,0.882,0.384,0.985,44.13,23.21,25.47,7.19,14.237
28,TOR,6265,5578,1476,208,1298,551,0.694,-1.45,0.727,0.877,0.368,0.986,43.76,24.57,23.72,7.94,12.021
29,WAS,6087,5454,1320,198,1417,487,0.713,0.17,0.753,0.878,0.391,0.992,42.76,24.81,23.67,8.77,10.512
