IDPLAYER,PLAYERNAME,BIRTHDATE,FIRSTNAME,LASTNAME,TEAM,LG,POS,IDFANGRAPHS,FANGRAPHSNAME,MLBID,MLBNAME,CBSID,CBSNAME,RETROID,BREFID,NFBCID,NFBCNAME,ESPNID,ESPNNAME,KFFLNAME,DAVENPORTID,BPID,YAHOOID,YAHOONAME,MSTRBLLNAME,BATS,THROWS,FANTPROSNAME,LASTCOMMAFIRST,ROTOWIREID,FANDUELNAME,FANDUELID,DRAFTKINGSNAME,OTTONEUID,HQID,RAZZBALLNAME,FANTRAXID,FANTRAXNAME,ROTOWIRENAME,ALLPOS,NFBCLASTFIRST,NAME_TEAM,NAME_TEAM1,NAME_TEAM2,NAME_TEAM3,NAME_TEAM4,NAME_TEAM5,NAME_TEAM6
aardsda01,DAVID AARDSMA,12/27/1981,David,Aardsma,ATL,,P,1902,DAVID AARDSMA,430911.0,DAVID AARDSMA,479025.0,DAVID AARDSMA,aardd001,aardsda01,7307.0,DAVID AARDSMA,5933.0,DAVID AARDSMA,,AARDSMA19811227A,45369.0,7307.0,DAVID AARDSMA,"Aardsma, David",R,R,David Aardsma,"Aardsma, David",7633.0,,,David Aardsma,4362.0,,David Aardsma,,,David Aardsma,P,"Aardsma, David",DAVID AARDSMA NAN,DAVID AARDSMA NAN,DAVID AARDSMA NAN,DAVID AARDSMA NAN,DAVID AARDSMA NAN,DAVID AARDSMA NAN,DAVID AARDSMA NAN
abadfe01,FERNANDO ABAD,12/17/1985,Fernando,Abad,PHI,,P,4994,FERNANDO ABAD,472551.0,FERNANDO ABAD,1723564.0,FERNANDO ABAD,abadf001,abadfe01,8767.0,FERNANDO ABAD,30417.0,FERNANDO ABAD,,ABAD19851217A,49706.0,8767.0,FERNANDO ABAD,"Abad, Fernando",L,L,Fernando Abad,"Abad, Fernando",11285.0,Fernando Abad,12453.0,Fernando Abad,7372.0,3556.0,Fernando Abad,01viz,"Abad, Fernando",Fernando Abad,P,"Abad, Fernando",FERNANDO ABAD NAN,FERNANDO ABAD NAN,FERNANDO ABAD NAN,FERNANDO ABAD NAN,FERNANDO ABAD NAN,FERNANDO ABAD NAN,FERNANDO ABAD NAN
abreual01,ALBERT ABREU,9/26/1995,Albert,Abreu,NYA,AL,P,sa828366,ALBERT ABREU,656061.0,ALBERT ABREU,2211792.0,ALBERT ABREU,,abreual01,10546.0,ALBERT ABREU,36041.0,NAN,,,104651.0,,NAN,"Abreu, Albert",R,R,Albert Abreu,"Abreu, Albert",14063.0,,,,,5762.0,Albert Abreu,,,Albert Abreu,P,"Abreu, Albert",ALBERT ABREU NYY,ALBERT ABREU NYY,ALBERT ABREU NYY,ALBERT ABREU NYY,ALBERT ABREU NYY,NAN NYY,NAN NYY
abreubo01,BOBBY ABREU,3/11/1974,Bobby,Abreu,[],,OF,945,BOBBY ABREU,110029.0,BOBBY ABREU,7367.0,BOBBY ABREU,abreb001,abreubo01,5698.0,BOBBY ABREU,3537.0,BOBBY ABREU,Bobby Abreu,ABREU19740311A,650.0,5698.0,BOBBY ABREU,"Abreu, Bobby",L,R,Bobby Abreu,"Abreu, Bobby",,,,,8984.0,,Bobby Abreu,,,,OF,"Abreu, Bobby",BOBBY ABREU NAN,BOBBY ABREU NAN,BOBBY ABREU NAN,BOBBY ABREU NAN,BOBBY ABREU NAN,BOBBY ABREU NAN,BOBBY ABREU NAN
abreujo02,JOSE ABREU,1/29/1987,Jose,Abreu,CHA,AL,1B,15676,JOSE ABREU,547989.0,JOSE ABREU,2106364.0,JOSE ABREU,abrej003,abreujo02,9540.0,JOSE ABREU,33095.0,JOSE ABREU,Jose Abreu,ABREUcubaJ01,102005.0,9540.0,JOSE ABREU,"Abreu, Jose",R,R,Jose Abreu,"Abreu, Jose",11341.0,Jose Abreu,49523.0,Jose Abreu,18286.0,4515.0,Jose Abreu,02i2e,"Abreu, Jose","Abreu, Jose",1B,"Abreu, Jose",JOSE ABREU CHW,JOSE ABREU CHW,JOSE ABREU CHW,JOSE ABREU CHW,JOSE ABREU CHW,JOSE ABREU CHW,JOSE ABREU CHW
abreuto01,TONY ABREU,11/13/1984,Tony,Abreu,SFN,,2B,5053,TONY ABREU,473234.0,TONY ABREU,593265.0,TONY ABREU,abret001,abreuto01,8033.0,TONY ABREU,28777.0,TONY ABREU,Tony Abreu,ABREU19841113A,46923.0,8033.0,TONY ABREU,"Abreu, Tony",B,R,Tony Abreu,"Abreu, Tony",9244.0,,,,549.0,,Tony Abreu,,,Tony Abreu,2B,"Abreu, Tony",TONY ABREU NAN,TONY ABREU NAN,TONY ABREU NAN,TONY ABREU NAN,TONY ABREU NAN,TONY ABREU NAN,TONY ABREU NAN
accarje01,JEREMY ACCARDO,12/18/1981,Jeremy,Accardo,[],,P,6428,JEREMY ACCARDO,435618.0,JEREMY ACCARDO,490429.0,JEREMY ACCARDO,accaj001,accarje01,7534.0,JEREMY ACCARDO,6262.0,JEREMY ACCARDO,,ACCARDO19811208A,45614.0,7534.0,JEREMY ACCARDO,"Accardo, Jeremy",R,R,Jeremy Accardo,"Accardo, Jeremy",,,,,8034.0,,Jeremy Accardo,,,,P,"Accardo, Jeremy",JEREMY ACCARDO NAN,JEREMY ACCARDO NAN,JEREMY ACCARDO NAN,JEREMY ACCARDO NAN,JEREMY ACCARDO NAN,JEREMY ACCARDO NAN,JEREMY ACCARDO NAN
aceveal01,ALFREDO ACEVES,12/8/1982,Alfredo,Aceves,NYA,,P,5164,ALFREDO ACEVES,469686.0,ALFREDO ACEVES,1638980.0,ALFREDO ACEVES,aceva001,aceveal01,8336.0,ALFREDO ACEVES,29223.0,ALFREDO ACEVES,,ACEVES19821208A,46928.0,8336.0,ALFREDO ACEVES,"Aceves, Alfredo",R,R,Alfredo Aceves,"Aceves, Alfredo",10464.0,,,,580.0,,Alfredo Aceves,,,Alfredo Aceves,P,"Aceves, Alfredo",ALFREDO ACEVES NAN,ALFREDO ACEVES NAN,ALFREDO ACEVES NAN,ALFREDO ACEVES NAN,ALFREDO ACEVES NAN,ALFREDO ACEVES NAN,ALFREDO ACEVES NAN
acevedo01,DOMINGO ACEVEDO,3/6/1994,Domingo,Acevedo,NYA,AL,P,sa739716,DOMINGO ACEVEDO,642758.0,DOMINGO ACEVEDO,,NAN,,acevedo01,10545.0,DOMINGO ACEVEDO,35010.0,NAN,,,103250.0,,NAN,"Acevedo, Domingo",R,R,Domingo Acevedo,"Acevedo, Domingo",14060.0,,,,,5763.0,Domingo Acevedo,,,Domingo Acevedo,P,"Acevedo, Domingo",DOMINGO ACEVEDO NYY,DOMINGO ACEVEDO NYY,DOMINGO ACEVEDO NYY,NAN NYY,DOMINGO ACEVEDO NYY,NAN NYY,NAN NYY
ackledu01,DUSTIN ACKLEY,2/26/1988,Dustin,Ackley,NYA,AL,1B,10099,DUSTIN ACKLEY,554429.0,DUSTIN ACKLEY,1699742.0,DUSTIN ACKLEY,ackld001,ackledu01,8648.0,DUSTIN ACKLEY,30372.0,DUSTIN ACKLEY,Dustin Ackley,ACKLEY19880226A,61057.0,8648.0,DUSTIN ACKLEY,"Ackley, Dustin",L,R,Dustin Ackley,"Ackley, Dustin",10944.0,Dustin Ackley,12853.0,Dustin Ackley,5141.0,3375.0,Dustin Ackley,,,Dustin Ackley,1B,"Ackley, Dustin",DUSTIN ACKLEY SEA,DUSTIN ACKLEY SEA,DUSTIN ACKLEY SEA,DUSTIN ACKLEY SEA,DUSTIN ACKLEY SEA,DUSTIN ACKLEY SEA,DUSTIN ACKLEY SEA
