,YEAR,SIDE,TEAM,Home PA,Away PA,Home HR,Away HR,FB Factor,GB Factor,LD Factor,PU Factor,1b Factor,2b Factor,3b Factor,HR Factor,Runs Factor
0,2018,RHB,TEX,3594,3362,125,0.97,1.02,0.98,1.08,1.02,1.04,1.09,1.35,1.1,1.15
1,2018,LHB,CLE,3258,3328,128,1.16,0.97,1.03,1.07,0.88,1.0,1.08,1.01,1.06,1.1
2,2018,LHB,COL,2499,2453,83,0.66,0.95,1.04,1.04,0.8,1.04,1.15,1.35,1.11,1.09
3,2018,RHB,ATL,3164,3240,82,0.97,0.98,1.02,1.04,1.01,1.05,0.99,0.97,0.93,1.08
4,2018,LHB,TEX,2739,2699,108,0.86,1.0,1.02,0.98,1.04,1.03,1.02,1.5,1.11,1.07
5,2018,LHB,ARI,2628,2593,66,0.7,1.03,0.99,1.07,0.91,1.03,1.0,1.5,0.97,1.07
6,2018,RHB,CHN,3627,3747,95,0.78,1.0,1.02,0.97,1.04,1.0,1.0,1.18,1.12,1.07
7,2018,RHB,COL,3721,3659,137,1.08,0.98,1.04,1.04,0.87,1.05,1.24,1.53,1.12,1.07
8,2018,LHB,SDN,2547,2384,63,0.61,0.97,1.03,1.04,1.0,1.02,1.11,1.16,0.98,1.06
9,2018,RHB,NYA,3860,3811,157,1.42,0.99,1.0,1.03,1.13,1.08,0.95,1.07,1.04,1.06
10,2018,RHB,BOS,3719,3786,130,1.23,1.01,0.99,1.01,1.01,1.0,1.08,1.15,1.04,1.06
11,2018,RHB,PHI,3298,3241,101,0.77,1.03,0.97,0.97,0.96,0.97,0.97,0.8,1.14,1.05
12,2018,LHB,WAS,2674,2777,93,0.84,1.06,0.97,1.04,0.95,1.02,1.16,0.92,1.07,1.05
13,2018,RHB,WAS,3569,3355,117,0.95,1.0,0.99,1.03,0.99,0.99,1.05,0.9,1.08,1.04
14,2018,LHB,CHN,2639,2620,70,0.81,0.97,1.02,1.03,0.9,1.01,1.04,1.03,0.93,1.04
15,2018,LHB,CIN,2990,3016,114,0.89,0.99,0.93,0.98,1.05,0.98,0.95,1.22,1.14,1.04
16,2018,RHB,MIL,3619,3714,109,1.08,1.05,0.96,0.98,1.0,0.97,1.03,1.04,1.02,1.03
17,2018,LHB,NYA,2389,2352,82,0.63,0.99,0.97,1.02,1.0,1.07,0.95,0.77,1.14,1.03
18,2018,RHB,KCA,3563,3489,108,1.01,1.05,0.99,1.01,0.95,0.97,1.03,1.14,1.02,1.02
19,2018,RHB,CIN,3383,3130,119,0.78,1.01,0.97,0.97,0.96,0.94,1.06,1.06,1.2,1.01
20,2018,RHB,BAL,3942,3883,145,1.26,1.04,1.02,0.99,1.0,1.02,0.92,0.83,1.06,1.01
21,2018,LHB,ATL,3069,2933,64,0.85,0.97,1.0,0.99,1.06,1.01,0.98,0.83,0.86,1.01
22,2018,RHB,CLE,2930,2855,82,0.9,0.94,1.04,0.97,0.9,1.03,0.96,0.99,0.95,1.01
23,2018,LHB,MIL,2467,2524,96,0.78,1.02,0.97,0.96,0.96,0.98,0.9,0.87,1.12,1.0
24,2018,LHB,TBA,2416,2421,51,0.53,0.99,0.95,1.01,1.19,0.97,0.89,1.25,0.98,1.0
25,2018,LHB,MIN,3190,3164,95,0.91,0.98,0.95,1.03,1.04,0.98,1.0,1.37,1.02,1.0
26,2018,RHB,DET,3795,3902,97,1.1,1.01,0.98,1.05,1.11,0.99,1.1,1.35,0.95,1.0
27,2018,RHB,ARI,3585,3490,105,1.09,0.99,1.0,1.0,0.94,1.0,0.95,1.52,0.97,1.0
28,2018,RHB,SFN,3770,3914,77,1.07,0.98,1.04,1.0,0.98,1.04,0.95,1.07,0.88,1.0
29,2018,LHB,SLN,2429,2362,65,0.64,1.03,1.03,1.03,1.04,1.0,0.96,0.73,0.99,0.99
30,2018,LHB,ANA,2102,2061,79,0.57,1.01,1.02,0.99,0.84,0.96,0.92,0.68,1.17,0.99
31,2018,LHB,BOS,2501,2462,59,0.72,1.07,1.04,1.01,0.93,0.99,1.37,1.12,0.91,0.99
32,2018,RHB,HOU,3992,4059,129,1.16,1.01,1.02,0.95,0.99,0.97,0.94,0.8,1.06,0.99
33,2018,LHB,PIT,2688,2738,83,0.79,0.99,1.02,0.98,0.96,1.0,1.11,0.84,1.03,0.99
