Unnamed: 0,NAME,HAND_pit,G_SIDE_pit,PA_SIDE_pit,AB_SIDE_pit,H_SIDE_pit,1B_SIDE_pit,2B_SIDE_pit,3B_SIDE_pit,HR_SIDE_pit,TB_SIDE_pit,SO_SIDE_pit,BB_SIDE_pit,HBP_SIDE_pit,SF_SIDE_pit,SH_SIDE_pit,DP_SIDE_pit,FB%_SIDE_pit,GB%_SIDE_pit,LD%_SIDE_pit,POP%_SIDE_pit,ISO_SIDE_pit,AVG_SIDE_pit,OBP_SIDE_pit,SLG_SIDE_pit,TAV_SIDE_pit,BASES_VS_AB_pit
0,AARON LOUP,L,2,5,4,2,1,1,0,0,3,0,0,1,0,0,0,0.0,50.0,50.0,0.0,0.25,0.5,0.6,0.75,0.469,0.6
1,AARON LOUP,R,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009000000000000001,0.0
2,AARON NOLA,L,1,13,11,2,2,0,0,0,2,4,2,0,0,0,0,14.29,71.43,0.0,14.29,0.0,0.182,0.308,0.182,0.198,0.3076923076923077
3,AARON NOLA,R,1,10,7,0,0,0,0,0,0,4,3,0,0,0,0,33.33,33.33,33.33,0.0,0.0,0.0,0.3,0.0,0.171,0.3
4,AARON SANCHEZ,L,1,6,5,0,0,0,0,0,0,3,1,0,0,0,0,50.0,50.0,0.0,0.0,0.0,0.0,0.16699999999999998,0.0,0.10800000000000001,0.16666666666666666
5,AARON SANCHEZ,R,1,15,12,3,3,0,0,0,3,3,2,1,0,0,0,44.44,33.33,22.22,0.0,0.0,0.25,0.4,0.25,0.26,0.3333333333333333
6,ADALBERTO MEJIA,R,1,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.0
7,ADAM CIMBER,R,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0
8,ADAM CONLEY,L,2,6,6,3,0,2,1,0,7,0,0,0,0,0,0,0.0,33.33,66.67,0.0,0.667,0.5,0.5,1.167,0.638,1.1666666666666667
9,ADAM CONLEY,R,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,-0.03,0.0
