,Team(s),ID,MLB ID,Pos,Bats,Throws,NAME,NAME_TEAM
0,CHA,102005,547989,1B,R,R,JOSE ABREU,JOSE ABREU CHA
1,ATL,60150,572669,CF,R,R,LANE ADAMS,LANE ADAMS ATL
2,WAS,59582,571431,1B,L,R,MATT ADAMS,MATT ADAMS WAS
3,MIN,50677,501303,2B,B,R,EHIRE ADRIANZA,EHIRE ADRIANZA MIN
4,MIL,59871,542583,1B,R,R,JESUS AGUILAR,JESUS AGUILAR MIL
5,ARI,69508,605113,SS,R,R,NICK AHMED,NICK AHMED ARI
6,MIL,31948,458006,P,L,R,MATT ALBERS,MATT ALBERS MIL
7,ATL,104004,645277,2B,B,R,OZHAINO ALBIES,OZHAINO ALBIES ATL
8,LAN,65851,518397,P,L,L,SCOTT ALEXANDER,SCOTT ALEXANDER LAN
9,PHI,68062,595751,C,R,R,JORGE ALFARO,JORGE ALFARO PHI
10,CLE,68494,592102,P,R,R,CODY ALLEN,CODY ALLEN CLE
11,CLE,104718,656185,CF,B,R,GREG ALLEN,GREG ALLEN CLE
12,KCA,50910,501659,CF,B,R,ABRAHAM ALMONTE,ABRAHAM ALMONTE KCA
13,CHN,70339,546991,CF,R,R,ALBERT ALMORA,ALBERT ALMORA CHN
14,CLE,58012,475174,1B,L,R,YONDER ALONSO,YONDER ALONSO CLE
15,SEA,104719,656186,P,R,R,DAN ALTAVILLA,DAN ALTAVILLA SEA
16,PHI,59584,571437,LF,R,R,AARON ALTHERR,AARON ALTHERR PHI
17,HOU,55877,514888,2B,R,R,JOSE ALTUVE,JOSE ALTUVE HOU
18,TBA,100568,621237,P,L,L,JOSE ALVARADO,JOSE ALVARADO TBA
19,ANA,50878,501625,P,L,L,JOSE ALVAREZ,JOSE ALVAREZ ANA
20,BAL,59218,476883,3B,L,R,PEDRO ALVAREZ,PEDRO ALVAREZ BAL
21,MIA,70928,605119,3B,R,R,BRIAN ANDERSON,BRIAN ANDERSON MIA
22,MIL,59304,502624,P,R,R,CHASE ANDERSON,CHASE ANDERSON MIL
23,CHA,102503,641313,SS,R,R,TIM ANDERSON,TIM ANDERSON CHA
24,COL,65947,542881,P,L,L,TYLER ANDERSON,TYLER ANDERSON COL
25,TBA,69156,542882,P,R,R,MATT ANDRIESE,MATT ANDRIESE TBA
26,TEX,46980,462101,SS,R,R,ELVIS ANDRUS,ELVIS ANDRUS TEX
27,NYA,100349,609280,3B,R,R,MIGUEL ANDUJAR,MIGUEL ANDUJAR NYA
28,PHI,103580,644364,P,R,R,VICTOR ARANO,VICTOR ARANO PHI
29,BAL,69801,606478,P,R,R,PEDRO ARAUJO,PEDRO ARAUJO BAL
30,TBA,50101,502042,P,R,R,CHRIS ARCHER,CHRIS ARCHER TBA
31,MIL,69600,606115,SS,R,R,ORLANDO ARCIA,ORLANDO ARCIA MIL
32,COL,59586,571448,3B,R,R,NOLAN ARENADO,NOLAN ARENADO COL
33,PHI,52691,453562,P,R,R,JAKE ARRIETA,JAKE ARRIETA PHI
34,SDN,102507,641319,2B,L,R,CARLOS ASUAJE,CARLOS ASUAJE SDN
35,NYA,66927,592122,1B,R,R,TYLER AUSTIN,TYLER AUSTIN NYA
36,ARI,58899,488671,C,L,R,ALEX AVILA,ALEX AVILA ARI
37,CHA,50866,501593,P,L,L,LUIS AVILAN,LUIS AVILAN CHA
38,TOR,55512,446099,P,R,R,JOHN AXFORD,JOHN AXFORD TOR
39,SLN,105531,664056,CF,R,R,HARRISON BADER,HARRISON BADER SLN
40,CHN,70387,595879,SS,R,R,JAVIER BAEZ,JAVIER BAEZ CHN
41,LAN,55520,520980,P,R,R,PEDRO BAEZ,PEDRO BAEZ LAN
42,CIN,45612,456701,P,R,R,HOMER BAILEY,HOMER BAILEY CIN
43,MIL,69158,542908,C,R,R,JETT BANDY,JETT BANDY MIL
44,ANA,99842,572703,P,R,R,LUKE BARD,LUKE BARD ANA
45,LAN,69513,605131,C,R,R,AUSTIN BARNES,AUSTIN BARNES LAN
46,TOR,66928,592130,P,L,R,DANNY BARNES,DANNY BARNES TOR
47,MIL,69837,606930,P,R,R,JACOB BARNES,JACOB BARNES MIL
48,BOS,70758,598264,P,R,R,MATT BARNES,MATT BARNES BOS
49,TEX,51059,501817,P,R,R,TONY BARNETTE,TONY BARNETTE TEX
50,CIN,59592,571466,C,B,R,TUCKER BARNHART,TUCKER BARNHART CIN
51,MIA,71177,607457,P,R,R,KYLE BARRACLOUGH,KYLE BARRACLOUGH MIA
52,ANA,103054,642545,P,R,R,JAIME BARRIA,JAIME BARRIA ANA
53,CLE,70335,545333,P,R,R,TREVOR BAUER,TREVOR BAUER CLE
54,SDN,59595,571473,P,L,L,BUDDY BAUMANN,BUDDY BAUMANN SDN
55,NYN,103870,639373,P,R,R,GERSON BAUTISTA,GERSON BAUTISTA NYN
56,BAL,58058,542921,3B,R,R,TIM BECKHAM,TIM BECKHAM BAL
57,ANA,66930,592135,P,R,R,CAM BEDROSIAN,CAM BEDROSIAN ANA
58,SFN,70759,595881,P,R,R,TYLER BEEDE,TYLER BEEDE SFN
59,CLE,31338,279571,P,R,R,MATT BELISLE,MATT BELISLE CLE
60,DET,65853,518445,P,R,L,CHAD BELL,CHAD BELL DET
61,PIT,70775,605137,1B,B,R,JOSH BELL,JOSH BELL PIT
62,LAN,102519,641355,1B,L,L,CODY BELLINGER,CODY BELLINGER LAN
63,SFN,65767,474832,1B,L,L,BRANDON BELT,BRANDON BELT SFN
64,TEX,340,134181,3B,R,R,ADRIAN BELTRE,ADRIAN BELTRE TEX
65,BOS,105574,643217,LF,L,L,ANDREW BENINTENDI,ANDREW BENINTENDI BOS
66,MIN,100574,621244,P,R,R,JOSE BERRIOS,JOSE BERRIOS MIN
67,NYA,49775,476454,P,R,R,DELLIN BETANCES,DELLIN BETANCES NYA
68,COL,65855,518452,P,R,R,CHAD BETTIS,CHAD BETTIS COL
69,BOS,70430,605141,CF,R,R,MOOKIE BETTS,MOOKIE BETTS BOS
70,TOR,70988,607352,P,R,R,JOE BIAGINI,JOE BIAGINI TOR
71,SFN,101991,621389,P,R,L,TY BLACH,TY BLACH SFN
72,COL,52804,453568,RF,L,L,CHARLIE BLACKMON,CHARLIE BLACKMON COL
73,SFN,31340,453923,CF,L,L,GREGOR BLANCO,GREGOR BLANCO SFN
74,CIN,71129,607468,2B,R,R,ALEX BLANDINO,ALEX BLANDINO CIN
75,BAL,58075,542947,P,L,L,RICHARD BLEIER,RICHARD BLEIER BAL
76,NYN,47078,460283,P,L,L,JERRY BLEVINS,JERRY BLEVINS NYN
77,BOS,67248,593428,SS,R,R,XANDER BOGAERTS,XANDER BOGAERTS BOS
78,MIA,59603,571506,PH,L,R,JUSTIN BOUR,JUSTIN BOUR MIA
79,ATL,50054,488721,CF,R,R,PETER BOURJOS,PETER BOURJOS ATL
80,SLN,100544,621199,P,R,R,MATT BOWMAN,MATT BOWMAN SLN
81,ARI,65809,502202,P,R,R,BRAD BOXBERGER,BRAD BOXBERGER ARI
