Team,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,wSB,wRC,wRAA,wOBA,wRC+
ANA,6108,8.4,21.3,0.4,0.242,0.313,0.413,0.726,0.171,4.6,0.277,-2.4,-0.3,5.5,710,-4.4,0.313,100
HOU,6146,9.2,19.5,0.47,0.255,0.329,0.425,0.754,0.17,4.2,0.289,1.2,-8.2,0,778,59.6,0.327,110
OAK,6255,8.8,22.1,0.4,0.252,0.325,0.439,0.764,0.187,3.5,0.294,1.8,-2.5,-5.1,806,75.3,0.329,110
TOR,6076,8.2,22.8,0.36,0.244,0.312,0.427,0.739,0.183,3.5,0.286,-19.3,-1.8,-6,729,19.2,0.319,101
ATL,6251,8.2,20.6,0.4,0.257,0.324,0.417,0.742,0.161,4.5,0.302,11,1.8,-0.2,748,16.8,0.319,97
MIL,6210,8.6,23.5,0.37,0.252,0.323,0.424,0.747,0.172,4.9,0.302,2.9,-2.9,8.2,760,34.4,0.322,99
SLN,6200,8.5,22.3,0.38,0.249,0.321,0.409,0.73,0.16,3.7,0.294,8.6,8.3,-4,727,2.1,0.316,98
CHN,6369,9,21.8,0.41,0.258,0.333,0.41,0.744,0.152,4.3,0.313,3.5,4.8,-6.1,772,27.2,0.321,100
ARI,6157,9.1,23.7,0.38,0.235,0.31,0.397,0.707,0.162,5.2,0.286,3.4,1.4,2.3,672,-47.7,0.306,88
LAN,6358,10.2,22.6,0.45,0.25,0.333,0.442,0.774,0.191,4.6,0.294,10.5,-0.7,1.6,831,87.6,0.333,111
SFN,6113,7.3,24,0.31,0.239,0.3,0.368,0.667,0.129,4.1,0.299,-1.1,0,-1.8,586,-129,0.29,82
CLE,6300,8.8,18.9,0.47,0.259,0.332,0.434,0.766,0.176,4.9,0.291,-1.5,6.6,8.6,816,79.7,0.33,104
SEA,6087,7.1,20.1,0.35,0.254,0.314,0.408,0.722,0.154,4.2,0.295,-1.7,-2.6,-2.7,701,-11,0.313,101
MIA,6083,7.5,22.8,0.33,0.237,0.303,0.357,0.659,0.119,3.5,0.293,-7.2,-1.5,-7.1,581,-130.3,0.289,83
NYN,6177,9.2,22.7,0.4,0.234,0.312,0.389,0.701,0.154,4.3,0.283,7.6,0.1,-5.1,670,-52.4,0.305,95
WAS,6288,10,20.5,0.49,0.254,0.335,0.419,0.753,0.164,4.8,0.297,-2.6,4.4,6.6,787,51.5,0.325,101
BAL,6034,7,23.4,0.3,0.239,0.298,0.391,0.689,0.152,3.8,0.286,-6.3,-7.3,4,628,-77.7,0.299,87
SDN,6059,7.8,25.1,0.31,0.235,0.297,0.38,0.677,0.145,4.4,0.294,-2.9,-3.9,1.1,602,-106.7,0.294,84
PHI,6136,9.5,24.8,0.38,0.234,0.314,0.393,0.707,0.158,4.4,0.289,-0.9,4.1,-0.3,677,-40.5,0.307,91
PIT,6066,7.8,20.3,0.39,0.254,0.317,0.407,0.725,0.154,4.4,0.298,-4.1,-4.3,-4.9,693,-15.7,0.312,96
TEX,6163,9,24.1,0.37,0.24,0.318,0.404,0.722,0.164,4.3,0.292,6.9,3.3,-3,718,-2,0.315,90
TBA,6195,8.7,22.4,0.39,0.258,0.333,0.406,0.74,0.148,5.2,0.317,-1.3,0,1,762,37.3,0.322,105
BOS,6302,9,19.9,0.45,0.268,0.339,0.453,0.792,0.185,5.2,0.309,-8.7,-5.1,8.7,865,128.8,0.34,110
CIN,6240,9,22.1,0.41,0.254,0.328,0.401,0.729,0.148,4.1,0.307,1.2,-1.3,-1.8,737,7.3,0.317,95
COL,6178,8.2,22.6,0.36,0.256,0.322,0.435,0.757,0.179,5.2,0.304,3.1,-2,2.1,769,47.2,0.325,87
KCA,6063,7,21.6,0.33,0.245,0.305,0.392,0.697,0.146,4.7,0.293,-8.8,-3.2,4.6,649,-59.6,0.303,88
DET,6029,7.1,22.2,0.32,0.241,0.3,0.38,0.68,0.138,4.5,0.293,5.2,2.7,-1.5,609,-95.6,0.295,84
MIN,6154,8.7,21.6,0.4,0.25,0.318,0.405,0.723,0.155,3.7,0.298,0.4,5.3,-5.1,711,-7.9,0.313,95
CHA,6071,7,26.3,0.27,0.241,0.302,0.401,0.703,0.16,5,0.304,-7.2,0.3,-0.3,656,-53.4,0.304,92
NYA,6271,10,22.7,0.44,0.249,0.329,0.451,0.781,0.202,4.3,0.285,9.7,4.5,0.4,838,105.2,0.335,111
